(10.731, 'yellow', ' Third Quadrant', 'yellow')
(10.771, 'yellow', ' Third Quadrant', 'yellow')
(10.816, 'yellow', ' Third Quadrant', 'yellow')
(10.858, 'yellow', ' Third Quadrant', 'yellow')
(10.899, 'yellow', ' Third Quadrant', 'yellow')
(10.943, 'yellow', ' Third Quadrant', 'yellow')
(10.984, 'yellow', ' Third Quadrant', 'yellow')
(11.025, 'yellow', ' Third Quadrant', 'yellow')
(11.066, 'yellow', ' Third Quadrant', 'yellow')
(11.108, 'yellow', ' Third Quadrant', 'yellow')
(11.153, 'yellow', ' Third Quadrant', 'yellow')
(11.192, 'yellow', ' Third Quadrant', 'yellow')
(11.232, 'yellow', ' Third Quadrant', 'yellow')
(11.272, 'yellow', ' Third Quadrant', 'yellow')
(11.312, 'yellow', ' Third Quadrant', 'yellow')
(11.352, 'yellow', ' Third Quadrant', 'yellow')
(11.393, 'yellow', ' Third Quadrant', 'yellow')
(11.432, 'yellow', ' Third Quadrant', 'yellow')
(11.473, 'yellow', ' Third Quadrant', 'yellow')
(11.512, 'yellow', ' Third Quadrant', 'yellow')
(11.553, 'yellow', ' Third Quadrant', 'yellow')
(11.607, 'yellow', ' Third Quadrant', 'yellow')
(11.647, 'yellow', ' Third Quadrant', 'yellow')
(11.687, 'yellow', ' Third Quadrant', 'yellow')
(11.69, ' green ', ' First Quadrant', ' green ')
(11.691, ' green ', ' Fourth Quadrant', ' green ')
(11.728, 'yellow', ' Third Quadrant', 'yellow')
(11.732, ' green ', ' First Quadrant', ' green ')
(11.732, ' green ', ' Fourth Quadrant', ' green ')
(11.769, 'yellow', ' Third Quadrant', 'yellow')
(11.772, ' green ', ' Fourth Quadrant', ' green ')
(11.81, 'yellow', ' Third Quadrant', 'yellow')
(11.813, ' green ', ' Fourth Quadrant', ' green ')
(11.85, 'yellow', ' Third Quadrant', 'yellow')
(11.853, ' green ', ' Fourth Quadrant', ' green ')
(11.891, 'yellow', ' Third Quadrant', 'yellow')
(11.894, ' green ', ' Fourth Quadrant', ' green ')
(11.931, 'yellow', ' Third Quadrant', 'yellow')
(11.934, ' green ', ' First Quadrant', ' green ')
(11.934, ' green ', ' Fourth Quadrant', ' green ')
(11.972, 'yellow', ' Third Quadrant', 'yellow')
(11.975, ' green ', ' Fourth Quadrant', ' green ')
(12.012, 'yellow', ' Third Quadrant', 'yellow')
(12.015, ' green ', ' Fourth Quadrant', ' green ')
(12.053, 'yellow', ' Third Quadrant', 'yellow')
(12.056, ' green ', ' Fourth Quadrant', ' green ')
(12.094, 'yellow', ' Third Quadrant', 'yellow')
(12.097, ' green ', ' Fourth Quadrant', ' green ')
(12.135, 'yellow', ' Third Quadrant', 'yellow')
(12.138, ' green ', ' Fourth Quadrant', ' green ')
(12.176, 'yellow', ' Third Quadrant', 'yellow')
(12.181, ' green ', ' Fourth Quadrant', ' green ')
(12.219, 'yellow', ' Third Quadrant', 'yellow')
(12.222, ' green ', ' Fourth Quadrant', ' green ')
(12.26, 'yellow', ' Third Quadrant', 'yellow')
(12.263, ' green ', ' Fourth Quadrant', ' green ')
(12.304, 'yellow', ' Third Quadrant', 'yellow')
(12.307, ' green ', ' Fourth Quadrant', ' green ')
(12.346, 'yellow', ' Third Quadrant', 'yellow')
(12.349, ' green ', ' Fourth Quadrant', ' green ')
